2021-09-03 06:33:18 status unpacked python2.7:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 install libpython2-stdlib:amd64 <none> 2.7.16-1
2021-09-03 06:33:18 status half-installed libpython2-stdlib:amd64 2.7.16-1
2021-09-03 06:33:18 status unpacked libpython2-stdlib:amd64 2.7.16-1
2021-09-03 06:33:18 install libpython-stdlib:amd64 <none> 2.7.16-1
2021-09-03 06:33:18 status half-installed libpython-stdlib:amd64 2.7.16-1
2021-09-03 06:33:18 status unpacked libpython-stdlib:amd64 2.7.16-1
2021-09-03 06:33:18 startup packages configure
2021-09-03 06:33:18 configure libpython2.7-minimal:amd64 2.7.16-2+deb10u1 <none>
2021-09-03 06:33:18 status unpacked libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 status half-configured libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 status installed libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 configure python2.7-minimal:amd64 2.7.16-2+deb10u1 <none>
2021-09-03 06:33:18 status unpacked python2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 status half-configured python2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 status installed python2.7-minimal:amd64 2.7.16-2+deb10u1
2021-09-03 06:33:18 configure python2-minimal:amd64 2.7.16-1 <none>
2021-09-03 06:33:18 status unpacked python2-minimal:amd64 2.7.16-1
2021-09-03 06:33:18 status half-configured python2-minimal:amd64 2.7.16-1
2021-09-03 06:33:18 status installed python2-minimal:amd64 2.7.16-1
